instance_name, exec_time, random_seed, constraints_type, hot_start, solution_value,size
"4.atsp",20.765935904,"404981","claus","none",1530.0,39
"5.atsp",147.536332938,"404981","claus","none",1776.0,48
"6.atsp",141.357123428,"404981","claus","none",1608.0,56
"7.atsp",284.184016486,"404981","claus","none",1839.0,65
"1.atsp",14.630489695,"484986","mtz","none",39.0,17
"10.atsp",79.842479115,"484986","mtz","none",14422.0,48
"2.atsp",36.219047885,"484986","mtz","none",6905.0,53
"3.atsp",7.947086747,"484986","mtz","none",1286.0,34
"4.atsp",7.741334458,"484986","mtz","none",1530.0,39
"5.atsp",15.17244807,"484986","mtz","none",1776.0,48
"6.atsp",11.974334349,"484986","mtz","none",1608.0,56
"7.atsp",28.883594619,"484986","mtz","none",1839.0,65
"1.atsp",6.666278838,"678723","claus","none",39.0,17
"10.atsp",141.444159362,"678723","claus","none",14422.0,48
"2.atsp",52.172231045,"678723","claus","none",6905.0,53
"3.atsp",10.135764979,"678723","claus","none",1286.0,34
"4.atsp",19.131746925,"678723","claus","none",1530.0,39
"5.atsp",129.602665273,"678723","claus","none",1776.0,48
"6.atsp",158.296032531,"678723","claus","none",1608.0,56
"7.atsp",260.61751369,"678723","claus","none",1839.0,65
"1.atsp",7.134710619,"937435","mtz","none",39.0,17
"10.atsp",60.150600677,"937435","mtz","none",14422.0,48
"2.atsp",33.454556084,"937435","mtz","none",6905.0,53
"3.atsp",7.119156152,"937435","mtz","none",1286.0,34
"4.atsp",7.577409878,"937435","mtz","none",1530.0,39
"5.atsp",14.552525355,"937435","mtz","none",1776.0,48
"6.atsp",12.197387158,"937435","mtz","none",1608.0,56
"7.atsp",24.385100465,"937435","mtz","none",1839.0,65
"1.atsp",6.317020438,"994488","claus","none",39.0,17
"10.atsp",135.272521548,"994488","claus","none",14422.0,48
"2.atsp",50.445576799,"994488","claus","none",6905.0,53
"3.atsp",9.993457228,"994488","claus","none",1286.0,34
"4.atsp",18.611744251,"994488","claus","none",1530.0,39
"5.atsp",128.854191119,"994488","claus","none",1776.0,48
"6.atsp",133.861134302,"994488","claus","none",1608.0,56
"7.atsp",258.3817659,"994488","claus","none",1839.0,65
"1.atsp",7.193955772,"53620","mtz","none",39.0,17
"10.atsp",59.853254915,"53620","mtz","none",14422.0,48
"2.atsp",33.295742481,"53620","mtz","none",6905.0,53
"3.atsp",6.873307846,"53620","mtz","none",1286.0,34
"4.atsp",7.582836341,"53620","mtz","none",1530.0,39
"5.atsp",13.668033094,"53620","mtz","none",1776.0,48
"6.atsp",11.441701515,"53620","mtz","none",1608.0,56
"7.atsp",26.287345759,"53620","mtz","none",1839.0,65
"1.atsp",6.357531634,"35383","claus","none",39.0,17
"10.atsp",136.231658762,"35383","claus","none",14422.0,48
